기업이름,고용형태,연봉,기업주소,키워드,기업형태,사원수,매출액
(주)인터엑스,2 ~ 10년 · 정규직,회사내규에 따름,"울산 중구 종가6길 7, 10층 (우정동,혁신더테라스)",딥러닝,"중소기업, 주식회사업종응용 소프트웨어 개발 및 공급업",79,-
(주)칩스앤미디어,2 ~ 8년 · 정규직,회사내규에 따름,"서울 강남구 테헤란로 509, 엔씨타워1 7층,8층",딥러닝,"코넥스, 중소기업, 외부감사법인, 연구소..업종비메모리용 및 기타 전자집적회로 제조업",80,-
(주)미리디,3 ~ 10년 · 정규직,회사내규에 따름,"서울 구로구 디지털로31길 12, 8층",딥러닝,"중소기업, 스타트업, 주식회사, 병역특례..업종응용 소프트웨어 개발 및 공급업",282,-
(주)엠디에스테크,3 ~ 10년 · 정규직,회사내규에 따름,"경기 성남시 분당구 대왕판교로644번길 49, 9층 (삼평동,디티씨타워)",딥러닝,"코스닥, 중견기업, 주식회사, 수출입 기업업종응용 소프트웨어 개발 및 공급업",166,-
(주)라온로드,신입 · 경력 · 정규직,회사내규에 따름,"경기 성남시 분당구 판교로 723, 제비동 406호, 406-1호 (야탑동,분당테크노파크)",딥러닝,"중소기업, 주식회사, 연구소업종교통 신호장치 제조업설립일",-,-
(주)아이브,1 ~ 4년 · 정규직,회사내규에 따름,"경기 용인시 수지구 광교중앙로 338, 제에이 721호, 722호",딥러닝,"중소기업, 주식회사업종시스템 소프트웨어 개발 및 공급업",63,-
(주)딥노이드,3 ~ 5년 · 정규직,회사내규에 따름,"서울 구로구 디지털로33길 55, 13층 1305호 (구로동,이앤씨벤처드림타워2차)",딥러닝,"코스닥, 중소기업, 외부감사법인, 주식회..업종응용 소프트웨어 개발 및 공급업",136,-
(주)딥노이드,신입 · 경력 · 정규직,회사내규에 따름,"서울 구로구 디지털로33길 55, 13층 1305호 (구로동,이앤씨벤처드림타워2차)",딥러닝,"코스닥, 중소기업, 외부감사법인, 주식회..업종응용 소프트웨어 개발 및 공급업",136,-
(주)딥노이드,2 ~ 10년 · 정규직,회사내규에 따름,"서울 구로구 디지털로33길 55, 13층 1305호 (구로동,이앤씨벤처드림타워2차)",딥러닝,"코스닥, 중소기업, 외부감사법인, 주식회..업종응용 소프트웨어 개발 및 공급업",136,-
(주)딥노이드,3 ~ 10년 · 정규직,회사내규에 따름,"서울 구로구 디지털로33길 55, 13층 1305호 (구로동,이앤씨벤처드림타워2차)",딥러닝,"코스닥, 중소기업, 외부감사법인, 주식회..업종응용 소프트웨어 개발 및 공급업",136,-
(주)딥노이드,7년 · 정규직,회사내규에 따름,"서울 구로구 디지털로33길 55, 13층 1305호 (구로동,이앤씨벤처드림타워2차)",딥러닝,"코스닥, 중소기업, 외부감사법인, 주식회..업종응용 소프트웨어 개발 및 공급업",136,-
(주)딥노이드,3 ~ 7년 · 정규직,회사내규에 따름,"서울 구로구 디지털로33길 55, 13층 1305호 (구로동,이앤씨벤처드림타워2차)",딥러닝,"코스닥, 중소기업, 외부감사법인, 주식회..업종응용 소프트웨어 개발 및 공급업",136,-
(주)딥노이드,5 ~ 7년 · 정규직,회사내규에 따름,"서울 구로구 디지털로33길 55, 13층 1305호 (구로동,이앤씨벤처드림타워2차)",딥러닝,"코스닥, 중소기업, 외부감사법인, 주식회..업종응용 소프트웨어 개발 및 공급업",136,-
오케스트로(주),2 ~ 11년 · 정규직,회사내규에 따름,"서울 영등포구 여의대로 108, 43층 (여의도동,파크원타워2)",딥러닝,"중소기업, 주식회사업종시스템 소프트웨어 개발 및 공급업",396,-
(주)포소드,신입 · 경력 · 정규직,회사내규에 따름,"서울 영등포구 영신로 220, 707동 7층 712호",딥러닝,"중소기업, 외부감사법인, 주식회사, 병역..업종방송장비 제조업",56,-
(주)비포플레이,2 ~ 10년 · 정규직,회사내규에 따름,"충남 아산시 배방읍 희망로46번길 45-11, 3층 306호 (장재리,충남콘텐츠기업지원센터)",딥러닝,"중소기업, 주식회사",18,-
