기업이름,고용형태,연봉,기업주소,키워드,기업형태,사원수,매출액
(주)뉴로메카,신입 · 경력 · 정규직 외,면접 후 결정,서울 성동구 아차산로 78,로봇제어,"코스닥, 중소기업, 스타트업, 주식회사, ..업종산업용 로봇 제조업",142,"73억 3,308만"
(주)세운아이엔티,경력 · 정규직,면접 후 결정,경북 영천시 대창면 한제길 20,로봇제어,중소기업업종그 외 자동차용 신품 부품 제조업,52,-
덕산메카시스(주),6 ~ 12년 · 정규직,면접 후 결정,"경기 화성시 동탄기흥로 590, B동 3층 312호 (영천동,동탄센트럴에이스타워)",로봇제어,중소기업업종배전반 및 전기 자동제어반 제조업,32,"90억 8,688만"
(주)엑스와이지,경력 2년↑ · 정규직,면접 후 결정,-,로봇제어,"중소기업, 주식회사설립일*",-,-
(주)비티알수성,3 ~ 15년 · 정규직,면접 후 결정,인천 서구 파랑로466번길 88,로봇제어,"중소기업, 주식회사, 수출입 기업업종그 외 기타 기계 및 장비 도매업",15,-
덕산메카시스(주),4 ~ 10년 · 정규직,면접 후 결정,"경기 화성시 동탄기흥로 590, B동 3층 312호 (영천동,동탄센트럴에이스타워)",로봇제어,중소기업업종배전반 및 전기 자동제어반 제조업,32,"90억 8,688만"
미래산업(주),신입 · 경력 · 정규직,면접 후 결정,충남 천안시 서북구 백석공단7로 65,로봇제어,"코스피, 중소기업, 외부감사법인, 주식회..업종기타 측정, 시험, 항해, 제어 및 정밀기..",106,-
(주)창세이노베이션,경력무관 · 정규직,면접 후 결정,"서울 금천구 가산디지털1로 168, A동 1011호 (가산동,우림라이온스밸리)",로봇제어,중소기업업종그 외 기타 전자부품 제조업,15,-
(주)드림,경력무관 · 정규직,면접 후 결정,"경기 수원시 영통구 신원로 88, 103동 610호",로봇제어,"중소기업, 주식회사, 수출입 기업업종그 외 기타 전기장비 제조업",70,"287억 7,522만"
LS메카피온(주),경력무관 · 정규직,면접 후 결정,대구 달서구 호산동로 12-9,로봇제어,"대기업, 주식회사업종전동기 및 발전기 제조업",190,600억 100만
(주)로아스,3 ~ 10년 · 정규직,면접 후 결정,"경기 안양시 동안구 엘에스로116번길 39, 엘에스엠트론 하이테크센타 사무동 402호",로봇제어,"중소기업, 외국인 투자기업, 주식회사업종산업용 로봇 제조업",40,"132억 8,600만"
(주)로아스,2 ~ 10년 · 정규직,면접 후 결정,"경기 안양시 동안구 엘에스로116번길 39, 엘에스엠트론 하이테크센타 사무동 402호",로봇제어,"중소기업, 외국인 투자기업, 주식회사업종산업용 로봇 제조업",40,"132억 8,600만"
(주)성신인스트루먼트,경력(년수무관) · 정규직,면접 후 결정,서울 구로구 경인로 554,로봇제어,"중소기업, 외부감사법인, 수출입 기업업종정밀기기 및 과학기기 도매업",33,-
(주)성신인스트루먼트,경력(년수무관) · 정규직,면접 후 결정,서울 구로구 경인로 554,로봇제어,"중소기업, 외부감사법인, 수출입 기업업종정밀기기 및 과학기기 도매업",33,-
"Control Techniques, a NIDEC company",경력 2년↑ · 정규직,면접 후 결정,"서울 송파구 법원로11길 7, 문정현대지식산업센터 313,314호(문정동)",로봇제어,"외국 법인기업, 주식회사, 수출입 기업업종전기·전자·제어설립일",-,-
