기업이름,고용형태,연봉,기업주소,키워드,기업형태,사원수,매출액,인덱스
화인코왁,경력무관 · 정규직,면접 후 결정,경기 화성시 마도면 청원산단2길 58,딥러닝,"중소기업, 스타트업, 수출입 기업업종그 외 기타 특수목적용 기계 제조업",22,"77억 7,661만",1052
화인코왁,경력무관 · 정규직,면접 후 결정,경기 화성시 마도면 청원산단2길 58,딥러닝,"중소기업, 스타트업, 수출입 기업업종그 외 기타 특수목적용 기계 제조업",22,"77억 7,661만",1053
주식회사 트리비젼,신입 · 경력 · 정규직,면접 후 결정,"경기 하남시 미사강변서로 25, F동 6층 611호",딥러닝,"중소기업, 주식회사업종방송장비 제조업",8,"49억 7,129만",1054
트윔,경력 10년↑ · 정규직,면접 후 결정,경기 화성시 삼성1로4길 7-4,딥러닝,"코스닥, 중소기업, 스타트업, 외부감사법..업종응용 소프트웨어 개발 및 공급업",150,"182억 5,956만",1055
마음에이아이,경력무관 · 정규직 외,면접 후 결정,"경기 성남시 수정구 창업로40번길 30, 4층 (시흥동,판교아이티센터)",딥러닝,"코스닥, 중소기업, 스타트업, 주식회사, ..업종응용 소프트웨어 개발 및 공급업",105,-,1056
더코드테크놀로지,경력 5년↑ · 정규직,면접 후 결정,-,딥러닝,중소기업,-,-,1057
에이아이딥,경력무관 · 정규직 외,면접 후 결정,"경기 과천시 과천대로7나길 25, 11층",딥러닝,"중소기업, 주식회사, 병역특례 인증업체업종응용 소프트웨어 개발 및 공급업",22,-,1058
데이타이음,경력무관 · 정규직,면접 후 결정,"세종 남세종로 446, 504호",딥러닝,"중소기업, 연구소, 주식회사업종시스템 소프트웨어 개발 및 공급업",41,-,1059
다리소프트,경력 5년↑ · 정규직,면접 후 결정,"경기 성남시 분당구 황새울로200번길 26, 4층",딥러닝,"중소기업, 주식회사업종응용 소프트웨어 개발 및 공급업",37,-,1060
다리소프트,경력 3년↑ · 정규직,면접 후 결정,"경기 성남시 분당구 황새울로200번길 26, 4층",딥러닝,"중소기업, 주식회사업종응용 소프트웨어 개발 및 공급업",37,-,1061
다리소프트,경력 5년↑ · 정규직,면접 후 결정,"경기 성남시 분당구 황새울로200번길 26, 4층",딥러닝,"중소기업, 주식회사업종응용 소프트웨어 개발 및 공급업",37,-,1062
시그봇,경력무관 · 정규직,면접 후 결정,경기 김포시 양촌읍 황금로323번길 26,딥러닝,"중소기업, 연구소, 주식회사, 병역특례 ..업종구름베어링 제조업",45,"44억 3,768만",1063
시그봇,경력무관 · 정규직,면접 후 결정,"경기 성남시 수정구 금토로80번길 11, 1409호, 1410호, 1411호",딥러닝,"중소기업, 연구소, 주식회사업종응용 소프트웨어 개발 및 공급업",23,"23억 2,655만",1064
데이터에듀,경력무관 · 정규직,면접 후 결정,"부산 해운대구 센텀1로 28, 102동 3003호 (우동,더블유비씨더팰리스)",딥러닝,"중소기업, 주식회사업종데이터베이스 및 온라인정보 제공업",24,-,1065
데이터에듀,경력 3년↑ · 정규직 외,면접 후 결정,"부산 해운대구 센텀1로 28, 102동 3003호 (우동,더블유비씨더팰리스)",딥러닝,"중소기업, 주식회사업종데이터베이스 및 온라인정보 제공업",24,-,1066
에이티아이,경력무관 · 정규직,면접 후 결정,인천 연수구 갯벌로 112,딥러닝,"중소기업, 스타트업, 외부감사법인, 수출..업종물질 검사, 측정 및 분석기구 제조업",264,-,1067
아이로,1 ~ 4년 · 정규직,면접 후 결정,"경기 광명시 덕안로104번길 17, 310호,311호,312호,313호",딥러닝,"중소기업, 외국인 투자기업, 연구소, 주..업종산업용 로봇 제조업",17,"8억 7,810만",1068
엔디소프트,경력무관 · 정규직,면접 후 결정,"부산 해운대구 센텀중앙로 48, 1212호",딥러닝,"중소기업, 주식회사, 연구소업종전자상거래 소매업",28,100억,1069
엔디소프트,경력무관 · 정규직,면접 후 결정,"부산 해운대구 센텀중앙로 48, 1212호",딥러닝,"중소기업, 주식회사, 연구소업종전자상거래 소매업",28,100억,1070
엔지온시스템,신입 · 경력 · 정규직,면접 후 결정,경기 화성시 삼성1로2길 29,딥러닝,"중소기업, 주식회사업종디스플레이 제조용 기계 제조업",36,-,1071
인텔리빅스,경력무관 · 정규직,면접 후 결정,"서울 서초구 효령로34길 4, 6층 601호 (방배동,프린스효령빌딩)",딥러닝,"중소기업, 연구소, 주식회사, 병역특례 ..업종응용 소프트웨어 개발 및 공급업",96,-,1072
이루리,경력 5년↑ · 계약직,"연봉 5,000 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 24,728,880원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있","부산 강서구 미음산단5로41번길 71, 605호",딥러닝,"중소기업, 연구소, 주식회사업종전기회로 접속장치 제조업",3,-,1073
이음,경력 1년↑ · 정규직,면접 후 결정,"서울 송파구 백제고분로41길 40, 401호 (송파동,부영빌딩)",딥러닝,"중소기업, 스타트업, 주식회사, 병역특례..업종응용 소프트웨어 개발 및 공급업",139,-,1074
하나텍시스템,신입 · 경력 · 정규직,면접 후 결정,"경기 광명시 하안로 60, 디동 디1412호, 디1409호, 디1408호 (소하동,광명테크노파크)",딥러닝,"중소기업, 스타트업, 연구소, 주식회사, ..업종기타 무선 통신장비 제조업",84,"190억 4,758만",1075
에이비에이치,경력 1년↑ · 정규직,면접 후 결정,"울산 중구 종가로 406-21, 제2층 제알203호, 제알204호, 제알205호, 제알206호 (복산동,혁신비지니스)",딥러닝,"중소기업, 주식회사업종기타 주변기기 제조업",22,"17억 5,537만",1076
에이비에이치,경력무관 · 정규직,면접 후 결정,"울산 중구 종가로 406-21, 제2층 제알203호, 제알204호, 제알205호, 제알206호 (복산동,혁신비지니스)",딥러닝,"중소기업, 주식회사업종기타 주변기기 제조업",22,"17억 5,537만",1077
시스윈모빌리티,경력 2년↑ · 정규직,면접 후 결정,"경기 화성시 동탄기흥로 64-4, 5층",딥러닝,"중소기업, 사단법인, 주식회사업종응용 소프트웨어 개발 및 공급업",12,-,1078
에이치엔디,신입 · 정규직 외,"연봉 3,000 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 24,728,880원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있","경기 성남시 분당구 판교로255번길 62, 6층",딥러닝,"중소기업, 주식회사, 병역특례 인증업체업종시스템 소프트웨어 개발 및 공급업",79,-,1079
세라에스,2 ~ 5년 · 정규직,"연봉 5,000 만원 (주 30시간)근무형태상세보기상세근무 시간 주 30시간 기준 최저임금은 18,457,920원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있",-,딥러닝,"중소기업, 재단법인, 연구소, 주식회사홈페이지",-,-,1080
시니어앤파트너즈,3 ~ 10년 · 정규직,면접 후 결정,"서울 동대문구 청계천로 489, 9층",딥러닝,중소기업업종응용 소프트웨어 개발 및 공급업,18,14억 560만,1081
비비파트너스,경력 7년↑ · 정규직,면접 후 결정,"서울 강남구 논현로 507, 1109호",딥러닝,"중소기업, 주식회사업종경영 컨설팅업설립일",-,-,1082
브이비젼,경력 7년↑ · 정규직,면접 후 결정,"서울 송파구 위례성대로20길 31, 4층",딥러닝,중소기업업종경영 컨설팅업설립일*,-,-,1083
굿커리어,경력무관 · 정규직,면접 후 결정,서울 강남구 봉은사로 121,딥러닝,중소기업업종경영 컨설팅업홈페이지,-,-,1084
린인파트너스,경력 1년↑ · 정규직,면접 후 결정,"경기 부천시 신흥로 268, 5층",딥러닝,"중소기업, 주식회사업종고용 알선업설립일",-,-,1085
린인파트너스,경력 5년↑ · 정규직,면접 후 결정,"경기 부천시 신흥로 268, 5층",딥러닝,"중소기업, 주식회사업종고용 알선업설립일",-,-,1086
린인파트너스,경력 2년↑ · 정규직,면접 후 결정,"경기 부천시 신흥로 268, 5층",딥러닝,"중소기업, 주식회사업종고용 알선업설립일",-,-,1087
비비파트너스,경력 7년↑ · 정규직,면접 후 결정,"서울 강남구 논현로 507, 1109호",딥러닝,"중소기업, 주식회사업종경영 컨설팅업설립일",-,-,1088
비비파트너스,경력 7년↑ · 정규직,면접 후 결정,"서울 강남구 논현로 507, 1109호",딥러닝,"중소기업, 주식회사업종경영 컨설팅업설립일",-,-,1089
제이앤피에이치알컨설팅,5 ~ 12년 · 정규직,면접 후 결정,"서울 강남구 테헤란로 327, 17층 1704호",딥러닝,중소기업업종고용 알선업설립일*,-,-,1090
주) 석세스코리아컨설팅,신입 · 경력 · 병역특례,면접 후 결정,"서울 구로구 디지털로31길 38-21, 201호, 202호",딥러닝,"중소기업, 주식회사업종경영 컨설팅업",30,-,1091
HR컨설팅그룹,5 ~ 12년 · 정규직 외,면접 후 결정,"서울 금천구 디지털로 130, 1403호",딥러닝,중소기업업종경영 컨설팅업설립일*,-,-,1092
커리어케어,신입 · 경력 · 정규직,면접 후 결정,"서울 강남구 테헤란로87길 35, 씨엔드에치빌딩 지하3층, 5층, 6층, 7층, 8층",딥러닝,"중소기업, 주식회사업종상용 인력 공급 및 인사관리 서비스업",160,-,1093
리플라이랩,신입 · 경력 · 정규직,면접 후 결정,-,딥러닝,중소기업홈페이지,-,-,1094
G2G 파트너스,경력 5년↑ · 정규직,면접 후 결정,서울 강남구 역삼동 837-11 유니온센터 1306호,딥러닝,-,-,-,1095
G2G 파트너스,경력 5년↑ · 정규직,면접 후 결정,서울 강남구 역삼동 837-11 유니온센터 1306호,딥러닝,-,-,-,1096
G2G 파트너스,경력 5년↑ · 정규직,면접 후 결정,서울 강남구 역삼동 837-11 유니온센터 1306호,딥러닝,-,-,-,1097
에버브레인 컨설팅,6 ~ 12년 · 정규직,면접 후 결정,"서울 성동구 뚝섬로1길 25, 1201호 (성수동1가,서울숲한라에코벨리)",딥러닝,"중소기업, 외부감사법인, 주식회사업종고용 알선업",30,10억,1098
갤리언컨설팅그룹,경력 3년↑ · 정규직,면접 후 결정,"서울 강남구 테헤란로70길 13, 8층",딥러닝,"중소기업, 주식회사업종상용 인력 공급 및 인사관리 서비스업",40,-,1099
터닝포인트HR,경력 3년↑ · 정규직,면접 후 결정,"서울 강남구 테헤란로 509, 10층",딥러닝,중소기업설립일*,-,-,1100
솔루션인코퍼레이티드,3 ~ 8년 · 정규직,면접 후 결정,"서울 강남구 테헤란로 409, 15층",딥러닝,"중소기업, 주식회사업종임시 및 일용 인력 공급업",20,30억,1101
갤리언컨설팅그룹,신입 · 경력 · 정규직,면접 후 결정,"서울 강남구 테헤란로70길 13, 8층",딥러닝,"중소기업, 주식회사업종상용 인력 공급 및 인사관리 서비스업",40,-,1102
갤리언컨설팅그룹,경력무관 · 정규직,면접 후 결정,"서울 강남구 테헤란로70길 13, 8층",딥러닝,"중소기업, 주식회사업종상용 인력 공급 및 인사관리 서비스업",40,-,1103
씽크제이,경력 1년↑ · 정규직,면접 후 결정,서울 마포구 월드컵로 196 대명비첸시티오피스텔 B105호 A-69,딥러닝,중소기업,10,-,1104
에이치알포유,신입 · 경력 · 정규직,면접 후 결정,"서울 동대문구 청계천로 489, 9층",딥러닝,중소기업업종응용 소프트웨어 개발 및 공급업,18,14억 560만,1105
 케이와이씨지(KYCG),경력 5년↑ · 정규직,"연봉 10,000 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 24,728,880원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 ","서울 금천구 디지털로9길 46, 1510호",딥러닝,중소기업업종응용 소프트웨어 개발 및 공급업,20,-,1106
HR컨설팅,경력 5년↑ · 정규직,면접 후 결정,"서울 강남구 테헤란로33길 11, 8층",딥러닝,"중소기업, 주식회사업종고용 알선업",30,20억,1107
굿커리어,신입 · 경력 · 정규직,면접 후 결정,서울 강남구 봉은사로 121,딥러닝,중소기업업종경영 컨설팅업홈페이지,-,-,1108
휴먼리스펙,1 ~ 3년 · 정규직,면접 후 결정,인천 미추홀구 석바위로 58-1 영빌딩,딥러닝,-,-,-,1109
에임즈인터내셔널코리아,3 ~ 13년 · 정규직,면접 후 결정,"서울 강남구 테헤란로 333, 10층",딥러닝,"중소기업, 주식회사업종경영 컨설팅업",9,-,1110
헬로서치,경력 3년↑ · 정규직,면접 후 결정,"서울 강남구 삼성로81길 22, 3층",딥러닝,중소기업업종데이터베이스 및 온라인정보 제공업,175,-,1111
프로페셔날핸즈인핸즈코리아,8 ~ 13년 · 정규직,면접 후 결정,"서울 강남구 봉은사로84길 9, 2층",딥러닝,"중소기업, 주식회사업종경영 컨설팅업",15,-,1112
맨파워코리아,경력 3년↑ · 정규직,면접 후 결정,서울 강남구 테헤란로 409,딥러닝,"중견기업, 외국인 투자기업, 외부감사법인업종상용 인력 공급 및 인사관리 서비스업",5415,-,1113
에스앤티써치,경력(년수무관) · 정규직,면접 후 결정,"서울 마포구 월드컵북로 361, 14층",딥러닝,"중소기업, 사단법인, 주식회사업종고용 알선업설립일",-,-,1114
크로스헌팅서치,경력 10년↑ · 정규직,면접 후 결정,서울 서초구 사임당로 28 청호나이스,딥러닝,-,-,-,1115
터닝포인트HR,경력 3년↑ · 정규직,면접 후 결정,"서울 강남구 테헤란로 509, 10층",딥러닝,중소기업설립일*,-,-,1116
반석써치,4 ~ 10년 · 정규직,면접 후 결정,"서울 강남구 테헤란로64길 16-8, 4층 (대치동,금척빌딩)",딥러닝,중소기업업종상품 종합 도매업설립일,-,-,1117
프로페셔날핸즈인핸즈코리아,경력 1년↑ · 정규직,면접 후 결정,"서울 강남구 봉은사로84길 9, 2층",딥러닝,"중소기업, 주식회사업종경영 컨설팅업",45,40억,1118
코리아아이티아카데미부산,경력무관 · 정규직 외,면접 후 결정,"부산 부산진구 중앙대로 668, 4층",딥러닝,중소기업업종기타 기술 및 직업훈련학원,6,-,1119
휴먼트리월드와이드,4 ~ 12년 · 정규직,면접 후 결정,"서울 서초구 강남대로95길 43, 2층",딥러닝,"중소기업, 주식회사업종경영 컨설팅업",18,-,1120
맨파워코리아,경력 5년↑ · 정규직,면접 후 결정,서울 강남구 테헤란로 409,딥러닝,"중견기업, 외국인 투자기업, 외부감사법인업종상용 인력 공급 및 인사관리 서비스업",11000,"2,223억 8,396만",1121
위더스파트너스,3 ~ 15년 · 정규직,면접 후 결정,"서울 강남구 테헤란로70길 14-12, 4층",딥러닝,중소기업업종경영 컨설팅업설립일,-,-,1122
주식회사에스에이티,경력 2년↑ · 정규직,"3,000만원 (면접 후 협의)","경기 군포시 엘에스로 175, 7층",딥러닝,"코스닥, 외부감사법인, 주식회사, 수출입..업종기기용 자동측정 및 제어장치 제조업",72,-,1123
온리원파트너스,경력 4년↑ · 정규직,면접 후 결정,"서울 성동구 아차산로17길 57, 12층 1201호 (성수동2가,일신건영휴먼테코)",딥러닝,"중소기업, 외부감사법인, 주식회사업종고용 알선업",55,-,1124
굿커리어,경력 10년↑ · 정규직,면접 후 결정,서울 강남구 봉은사로 121,딥러닝,중소기업업종경영 컨설팅업홈페이지,-,-,1125
굿커리어,6 ~ 11년 · 정규직,면접 후 결정,서울 강남구 봉은사로 121,딥러닝,중소기업업종경영 컨설팅업홈페이지,-,-,1126
휴머레인컨설팅,경력 2년↑ · 정규직,면접 후 결정,서울 서초구 서초동 1330-3 엔데버빌딩 13층,딥러닝,-,-,-,1127
휴머레인컨설팅,경력 2년↑ · 정규직,면접 후 결정,서울 서초구 서초동 1330-3 엔데버빌딩 13층,딥러닝,-,-,-,1128
파워에이치알,10 ~ 18년 · 정규직,면접 후 결정,서울 강남구 대치동 891-47 원일빌딩 1층,딥러닝,-,28,12억,1129
구루넷,3 ~ 20년 · 정규직,면접 후 결정,"경기 군포시 산본동 1140-2, 산수빌딩 701-3호",딥러닝,-,-,-,1130
구루넷,경력 10년↑ · 정규직,면접 후 결정,"경기 군포시 산본동 1140-2, 산수빌딩 701-3호",딥러닝,-,-,-,1131
굿커리어,경력무관 · 정규직,면접 후 결정,서울 강남구 봉은사로 121,딥러닝,중소기업업종경영 컨설팅업홈페이지,-,-,1132
브이비젼,경력 7년↑ · 정규직,면접 후 결정,"서울 송파구 위례성대로20길 31, 4층",딥러닝,중소기업업종경영 컨설팅업설립일*,-,-,1133
브이비젼,경력 3년↑ · 정규직,면접 후 결정,"서울 송파구 위례성대로20길 31, 4층",딥러닝,중소기업업종경영 컨설팅업설립일*,-,-,1134
굿커리어,신입 · 경력 · 정규직,면접 후 결정,서울 강남구 봉은사로 121,딥러닝,중소기업업종경영 컨설팅업홈페이지,-,-,1135
굿커리어,경력 8년↑ · 정규직,면접 후 결정,서울 강남구 봉은사로 121,딥러닝,중소기업업종경영 컨설팅업홈페이지,-,-,1136
굿커리어,7 ~ 20년 · 정규직,면접 후 결정,서울 강남구 봉은사로 121,딥러닝,중소기업업종경영 컨설팅업홈페이지,-,-,1137
굿커리어,4 ~ 14년 · 정규직,면접 후 결정,서울 강남구 봉은사로 121,딥러닝,중소기업업종경영 컨설팅업홈페이지,-,-,1138
굿커리어,경력 4년↑ · 정규직,면접 후 결정,서울 강남구 봉은사로 121,딥러닝,중소기업업종경영 컨설팅업홈페이지,-,-,1139
굿커리어,경력 3년↑ · 정규직,면접 후 결정,서울 강남구 봉은사로 121,딥러닝,중소기업업종경영 컨설팅업홈페이지,-,-,1140
굿커리어,1 ~ 5년 · 정규직,면접 후 결정,서울 강남구 봉은사로 121,딥러닝,중소기업업종경영 컨설팅업홈페이지,-,-,1141
에이치알비즈코리아,경력 2년↑ · 정규직,면접 후 결정,"서울 강남구 선릉로100길 34, 2층",딥러닝,"중소기업, 주식회사",20,-,1142
에이치알포유,5 ~ 15년 · 정규직,면접 후 결정,"경기 성남시 수정구 금토로80번길 11, 1409호, 1410호, 1411호",딥러닝,"중소기업, 연구소, 주식회사업종응용 소프트웨어 개발 및 공급업",23,"23억 2,655만",1143
제이앤피에이치알컨설팅,3 ~ 12년 · 정규직,면접 후 결정,"서울 강남구 테헤란로 327, 17층 1704호",딥러닝,중소기업업종고용 알선업설립일*,-,-,1144
휴먼인써치,경력 7년↑ · 정규직,면접 후 결정,경기 용인시 기흥구 흥덕2로87번길 18 이씨티,딥러닝,-,-,-,1145
사람인에이치에스,경력 7년↑ · 정규직,면접 후 결정,"서울 구로구 디지털로34길 43, 6층 601호",딥러닝,"중견기업, 외부감사법인, 주식회사업종임시 및 일용 인력 공급업",1300,270억,1146
피너클써치,경력 10년↑ · 정규직,면접 후 결정,서울 강남구 강남대로100길 29,딥러닝,"중소기업, 주식회사업종임시 및 일용 인력 공급업",6,-,1147
피플렙,14 ~ 20년 · 정규직,면접 후 결정,"서울 강남구 테헤란로70길 14-8, 4층",딥러닝,"중소기업, 주식회사업종응용 소프트웨어 개발 및 공급업",14,-,1148
피플렙,8 ~ 15년 · 정규직,면접 후 결정,"서울 강남구 테헤란로70길 14-8, 4층",딥러닝,"중소기업, 주식회사업종응용 소프트웨어 개발 및 공급업",14,-,1149
피앤오파트너스,5 ~ 7년 · 정규직,면접 후 결정,서울 서초구 방배천로2길 21,딥러닝,-,-,-,1150
피앤오파트너스,경력 5년↑ · 정규직,면접 후 결정,서울 서초구 방배천로2길 21,딥러닝,-,-,-,1151
사람인에이치에스,경력 3년↑ · 정규직,면접 후 결정,"서울 구로구 디지털로34길 43, 6층 601호",딥러닝,"중견기업, 외부감사법인, 주식회사업종임시 및 일용 인력 공급업",831,-,1152
사람인에이치에스,2 ~ 6년 · 정규직,면접 후 결정,"서울 구로구 디지털로34길 43, 6층 601호",딥러닝,"중견기업, 외부감사법인, 주식회사업종임시 및 일용 인력 공급업",1300,270억,1153
사람인에이치에스,경력무관 · 계약직 외,"연봉 2,800 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 24,728,880원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있","서울 구로구 디지털로34길 43, 6층 601호",딥러닝,"중견기업, 외부감사법인, 주식회사업종임시 및 일용 인력 공급업",1300,270억,1154
키스템프그룹,경력 3년↑ · 정규직,"연봉 8,000 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 24,728,880원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있","서울 중구 을지로5길 16, 4층",딥러닝,중소기업업종상용 인력 공급 및 인사관리 서비스업,1471,-,1155
스텝씨,신입 · 경력 · 정규직,면접 후 결정,"서울 강남구 강남대로 354, 1404호",딥러닝,중소기업업종인력 공급업,20,-,1156
갤리언컨설팅그룹,경력무관 · 정규직,면접 후 결정,"서울 강남구 테헤란로70길 13, 8층",딥러닝,"중소기업, 주식회사업종상용 인력 공급 및 인사관리 서비스업",40,-,1157
에이치알포유,2 ~ 12년 · 정규직,면접 후 결정,"서울 강남구 테헤란로22길 14, 7층 (역삼동,중유빌딩)",딥러닝,"중소기업, 스타트업, 주식회사업종응용 소프트웨어 개발 및 공급업",15,-,1158
바인컨설팅,신입 · 정규직,면접 후 결정,"서울 강남구 논현로159길 20, 2층",딥러닝,"중소기업, 주식회사업종경영 컨설팅업",35,30억,1159
사람인에이치에스,경력 2년↑ · 정규직,면접 후 결정,"서울 구로구 디지털로34길 43, 6층 601호",딥러닝,"중견기업, 외부감사법인, 주식회사업종임시 및 일용 인력 공급업",831,-,1160
사람인에이치에스,3 ~ 10년 · 정규직,면접 후 결정,"서울 구로구 디지털로34길 43, 6층 601호",딥러닝,"중견기업, 외부감사법인, 주식회사업종임시 및 일용 인력 공급업",1300,270억,1161
사람인에이치에스,경력 5년↑ · 정규직,면접 후 결정,"서울 구로구 디지털로34길 43, 6층 601호",딥러닝,"중견기업, 외부감사법인, 주식회사업종임시 및 일용 인력 공급업",1300,270억,1162
사람인에이치에스,경력 3년↑ · 정규직,면접 후 결정,"서울 구로구 디지털로34길 43, 6층 601호",딥러닝,"중견기업, 외부감사법인, 주식회사업종임시 및 일용 인력 공급업",1300,270억,1163
반석써치,3 ~ 17년 · 정규직,면접 후 결정,"서울 강남구 테헤란로64길 16-8, 4층 (대치동,금척빌딩)",딥러닝,중소기업업종상품 종합 도매업설립일,-,-,1164
갤리언컨설팅그룹,경력 2년↑ · 정규직,면접 후 결정,"서울 강남구 테헤란로70길 13, 8층",딥러닝,"중소기업, 주식회사업종상용 인력 공급 및 인사관리 서비스업",40,-,1165
갤리언컨설팅그룹,경력 2년↑ · 정규직,면접 후 결정,"서울 강남구 테헤란로70길 13, 8층",딥러닝,"중소기업, 주식회사업종상용 인력 공급 및 인사관리 서비스업",40,-,1166
핀커스코리아,신입 · 경력 · 정규직,면접 후 결정,경기 김포시 양촌읍 황금로323번길 26,딥러닝,"중소기업, 연구소, 주식회사, 병역특례 ..업종구름베어링 제조업",45,"44억 3,768만",1167
핀커스코리아,신입 · 경력 · 정규직,면접 후 결정,"서울 중구 남대문로9길 24, 301호 (다동,패스트파이브타워)",딥러닝,"중소기업, 연구소, 주식회사, 병역특례 ..업종응용 소프트웨어 개발 및 공급업",49,-,1168
에이치알포유,신입 · 경력 · 정규직,면접 후 결정,서울 종로구 경희궁길 15,딥러닝,"중소기업, 스타트업, 주식회사업종피자, 햄버거, 샌드위치 및 유사 음식점업",110,"142억 8,858만",1169
에이치알포유,신입 · 경력 · 정규직,면접 후 결정,서울 종로구 경희궁길 15,딥러닝,"중소기업, 스타트업, 주식회사업종피자, 햄버거, 샌드위치 및 유사 음식점업",110,"142억 8,858만",1170
바인컨설팅,경력 8년↑ · 정규직,면접 후 결정,"서울 강남구 논현로159길 20, 2층",딥러닝,"중소기업, 주식회사업종경영 컨설팅업",35,30억,1171
바인컨설팅,7 ~ 10년 · 정규직,면접 후 결정,"서울 강남구 논현로159길 20, 2층",딥러닝,"중소기업, 주식회사업종경영 컨설팅업",35,30억,1172
구루넷,10 ~ 20년 · 정규직,면접 후 결정,"경기 군포시 산본동 1140-2, 산수빌딩 701-3호",딥러닝,-,-,-,1173
구루넷,5 ~ 20년 · 정규직,면접 후 결정,"경기 군포시 산본동 1140-2, 산수빌딩 701-3호",딥러닝,-,-,-,1174
구루넷,경력 7년↑ · 정규직,면접 후 결정,"경기 군포시 산본동 1140-2, 산수빌딩 701-3호",딥러닝,-,-,-,1175
사람인에이치에스,경력 4년↑ · 정규직,면접 후 결정,"서울 구로구 디지털로34길 43, 6층 601호",딥러닝,"중견기업, 외부감사법인, 주식회사업종임시 및 일용 인력 공급업",1300,270억,1176
헬로서치,경력 15년↑ · 정규직,면접 후 결정,"서울 강남구 삼성로81길 22, 3층",딥러닝,중소기업업종데이터베이스 및 온라인정보 제공업,175,-,1177
맨파워코리아,3 ~ 10년 · 정규직,면접 후 결정,서울 강남구 테헤란로 409,딥러닝,"중견기업, 외국인 투자기업, 외부감사법인업종상용 인력 공급 및 인사관리 서비스업",11000,"2,223억 8,396만",1178
HR컨설팅그룹,7 ~ 15년 · 정규직,면접 후 결정,"서울 금천구 디지털로 130, 1403호",딥러닝,중소기업업종경영 컨설팅업설립일*,-,-,1179
그레이스앤파트너스,신입 · 경력 · 정규직,면접 후 결정,"경기 성남시 수정구 금토로80번길 11, 1409호, 1410호, 1411호",딥러닝,"중소기업, 연구소, 주식회사업종응용 소프트웨어 개발 및 공급업",23,"23억 2,655만",1180
커리어라이즈,경력 7년↑ · 정규직,면접 후 결정,"경기 성남시 수정구 금토로80번길 11, 1409호, 1410호, 1411호",딥러닝,"중소기업, 연구소, 주식회사업종응용 소프트웨어 개발 및 공급업",23,"23억 2,655만",1181
키스템프그룹,2 ~ 10년 · 정규직,"연봉 6,000 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 24,728,880원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있","서울 중구 을지로5길 16, 4층",딥러닝,중소기업업종상용 인력 공급 및 인사관리 서비스업,1471,-,1182
커리어라이즈,경력 2년↑ · 정규직,면접 후 결정,"경기 성남시 수정구 금토로80번길 11, 1409호, 1410호, 1411호",딥러닝,"중소기업, 연구소, 주식회사업종응용 소프트웨어 개발 및 공급업",23,"23억 2,655만",1183
커리어라이즈,경력 1년↑ · 정규직,면접 후 결정,경기 김포시 양촌읍 황금로323번길 26,딥러닝,"중소기업, 연구소, 주식회사, 병역특례 ..업종구름베어링 제조업",45,"44억 3,768만",1184
커리어라이즈,경력 2년↑ · 정규직,면접 후 결정,경기 김포시 양촌읍 황금로323번길 26,딥러닝,"중소기업, 연구소, 주식회사, 병역특례 ..업종구름베어링 제조업",45,"44억 3,768만",1185
에이피써치,경력 7년↑ · 정규직,면접 후 결정,"서울 강남구 테헤란로34길 21-8, 금정빌딩 3층(역삼동)",딥러닝,-,23,20억,1186
브이비젼,경력 5년↑ · 정규직,면접 후 결정,"서울 송파구 위례성대로20길 31, 4층",딥러닝,중소기업업종경영 컨설팅업설립일*,-,-,1187
사람인에이치에스,2 ~ 11년 · 정규직,면접 후 결정,"서울 구로구 디지털로34길 43, 6층 601호",딥러닝,"중견기업, 외부감사법인, 주식회사업종임시 및 일용 인력 공급업",1300,270억,1188
수퍼빈,5 ~ 10년 · 정규직,회사내규에 따름,"경기 성남시 분당구 황새울로 216, 502-1호",딥러닝,"중소기업, 사단법인, 연구소, 주식회사, ..업종산업용 로봇 제조업",136,-,1189
한국딥러닝,2 ~ 15년 · 정규직,회사내규에 따름,"경기 성남시 분당구 대왕판교로645번길 12, 5층 5호 (삼평동,경기창조경제혁신센터)",딥러닝,"중소기업, 주식회사업종시스템 소프트웨어 개발 및 공급업설립일",-,-,1190
다비오,3 ~ 15년 · 정규직,회사내규에 따름,"서울 마포구 마포대로 144, 8층 (공덕동,마포티타운)",딥러닝,"중소기업, 스타트업, 주식회사업종응용 소프트웨어 개발 및 공급업설립일",-,-,1191
