기업이름,고용형태,연봉,기업주소,키워드,기업형태,사원수,매출액,인덱스
굿커리어,2 ~ 11년 · 정규직,면접 후 결정,서울 강남구 봉은사로 121,자율주행,중소기업업종경영 컨설팅업홈페이지,-,-,99
쓰리핸즈(3Handz),8 ~ 12년 · 정규직,면접 후 결정,서울 서초구 바우뫼로 222 영진빌딩,자율주행,-,-,-,100
쓰리핸즈(3Handz),3 ~ 5년 · 정규직,면접 후 결정,서울 서초구 바우뫼로 222 영진빌딩,자율주행,-,-,-,101
쓰리핸즈(3Handz),5 ~ 10년 · 정규직,면접 후 결정,서울 서초구 바우뫼로 222 영진빌딩,자율주행,-,-,-,102
맨파워코리아,1 ~ 15년 · 정규직,면접 후 결정,서울 강남구 테헤란로 409,자율주행,"중견기업, 외국인 투자기업, 외부감사법인업종상용 인력 공급 및 인사관리 서비스업",11000,"2,223억 8,396만",103
맨파워코리아,경력 3년↑ · 정규직,면접 후 결정,서울 강남구 테헤란로 409,자율주행,"중견기업, 외국인 투자기업, 외부감사법인업종상용 인력 공급 및 인사관리 서비스업",11000,"2,223억 8,396만",104
솔찬컴퍼니,3 ~ 7년 · 정규직,면접 후 결정,"경기 수원시 영통구 법조로 25, A동 3505호",자율주행,"중소기업, 주식회사업종경영 컨설팅업설립일",-,-,105
솔찬컴퍼니,경력 3년↑ · 정규직,면접 후 결정,"경기 수원시 영통구 법조로 25, A동 3505호",자율주행,"중소기업, 주식회사업종경영 컨설팅업설립일",-,-,106
굿커리어,4 ~ 16년 · 정규직,면접 후 결정,서울 강남구 봉은사로 121,자율주행,중소기업업종경영 컨설팅업홈페이지,-,-,107
반석써치,신입 · 병역특례,면접 후 결정,"서울 강남구 테헤란로64길 16-8, 4층 (대치동,금척빌딩)",자율주행,중소기업업종상품 종합 도매업설립일,-,-,108
브이비젼,경력 7년↑ · 정규직,면접 후 결정,"서울 송파구 위례성대로20길 31, 4층",자율주행,중소기업업종경영 컨설팅업설립일*,-,-,109
브이비젼,경력 7년↑ · 정규직,면접 후 결정,"서울 송파구 위례성대로20길 31, 4층",자율주행,중소기업업종경영 컨설팅업설립일*,-,-,110
굿커리어,2 ~ 17년 · 정규직,면접 후 결정,서울 강남구 봉은사로 121,자율주행,중소기업업종경영 컨설팅업홈페이지,-,-,111
커리어라인업,4 ~ 8년 · 정규직,면접 후 결정,"서울 서초구 방배천로26길 21, 102호",자율주행,중소기업업종상용 인력 공급 및 인사관리 서비스업설립일,-,-,112
반석써치,신입 · 병역특례,면접 후 결정,"서울 강남구 테헤란로64길 16-8, 4층 (대치동,금척빌딩)",자율주행,중소기업업종상품 종합 도매업설립일,-,-,113
㈜골드윙파트너스,경력 10년↑ · 정규직,면접 후 결정,부산 부산진구 신암로 141,자율주행,"중소기업, 외국인 투자기업, 주식회사업종상용 인력 공급 및 인사관리 서비스업설립일*",-,-,114
갤리언컨설팅그룹,경력 3년↑ · 정규직,면접 후 결정,"서울 강남구 테헤란로70길 13, 8층",자율주행,"중소기업, 주식회사업종상용 인력 공급 및 인사관리 서비스업",40,-,115
사람인에이치에스,경력 5년↑ · 정규직,면접 후 결정,"서울 구로구 디지털로34길 43, 6층 601호",자율주행,"중견기업, 외부감사법인, 주식회사업종임시 및 일용 인력 공급업",1300,270억,116
