기업이름,매출액
(주)커리어앤스카우트,"30억 5,000만원"
(주)조인스에이치알코리아,-
(주)조인스에이치알코리아,-
(주)에이치알맨파워그룹,"84억 7,445만원"
(주)피플케어코리아,35억원
(주)에이치알컨설팅그룹,30억원
(주)유비소시어스,-
(주)유비소시어스,-
(주)피플케어코리아,35억원
(주)피플케어코리아,35억원
(주)피플케어코리아,35억원
(주)피플케어코리아,35억원
(주)에이치알컨설팅그룹,30억원
(주)커리어앤유,-
(주)에이치알맨파워그룹,"84억 7,445만원"
(주)스카우트파트너스,"85억 5,603만원"
(주)프로매치코리아,"42억 3,497만원"
(주)에이치알맨파워그룹,"84억 7,445만원"
(주)에이치알맨파워그룹,"84억 7,445만원"
(주)에이치알맨파워그룹,"84억 7,445만원"
(주)에이치알맨파워그룹,"84억 7,445만원"
(주)프로매치코리아,"42억 3,497만원"
(주)잡뉴스솔로몬서치,-
(주)글로벌에이치알코리아,"4억 1,971만원"
파워에이치알,12억원
(주)에이치알맨파워그룹,"84억 7,445만원"
(주)에이치알맨파워그룹,"84억 7,445만원"
(주)에이치알맨파워그룹,"84억 7,445만원"
(주)에이치알컨설팅그룹,30억원
매버릭컨설팅(주),-
HR컨설팅(주),33억원
HR컨설팅(주),33억원
헤니앤머코이,-
(주)피플케어코리아,35억원
(주)에이치알그룹,-
(주)커리어앤유,-
(주)피플케어코리아,35억원
(주)에이치엘비파트너스,-
(주)벤처피플,-
(주)피플케어코리아,35억원
(주)프로매치코리아,"42억 3,497만원"
HR컨설팅(주),33억원
(주)프로매치코리아,"42억 3,497만원"
매버릭컨설팅(주),-
(주)피플케어코리아,35억원
(주)피플케어코리아,35억원
(주)피플스카우트,65억원
(주)피플스카우트,65억원
HR컨설팅(주),33억원
HR컨설팅(주),33억원
HR컨설팅(주),33억원
(주)벤처피플,-
(주)프로매치코리아,"42억 3,497만원"
(주)스카우트,"261억 6,931만원"
(주)프로매치코리아,"42억 3,497만원"
(주)피플스카우트,65억원
(주)스카우트,"261억 6,931만원"
(주)피플케어코리아,35억원
(주)프로매치코리아,"42억 3,497만원"
(주)프로매치코리아,"42억 3,497만원"
(주)벤처피플,-
(주)피플케어코리아,35억원
(주)프로매치코리아,"42억 3,497만원"
(주)벤처피플,-
(주)피플스카우트,65억원
(주)피플스카우트,65억원
(주)프로매치코리아,"42억 3,497만원"
(주)잡뉴스솔로몬서치,-
(주)스카우트파트너스,"85억 5,603만원"
(주)프로매치코리아,"42억 3,497만원"
(주)잡뉴스솔로몬서치,-
(주)벤처피플,-
(주)엘마르코리아,-
HR컨설팅(주),33억원
제이엔커리어,-
(주)피플케어코리아,35억원
(주)피플케어코리아,35억원
(주)피플케어코리아,35억원
(주)피플케어코리아,35억원
(주)프로매치코리아,"42억 3,497만원"
(주)잡뉴스솔로몬서치,-
(주)커리어앤스카우트,"30억 5,000만원"
(주)피플케어코리아,35억원
매버릭컨설팅(주),-
파워에이치알,12억원
(주)벤처피플,-
(주)프로매치코리아,"42억 3,497만원"
(주)잡뉴스솔로몬서치,-
(주)프로매치코리아,"42억 3,497만원"
(주)프로매치코리아,"42억 3,497만원"
(주)커리어앤유,-
(주)커리어앤유,-
HR컨설팅(주),33억원
(주)피플케어코리아,35억원
(주)피플케어코리아,35억원
(주)피플케어코리아,35억원
(주)피플케어코리아,35억원
HR컨설팅(주),33억원
(주)헬로서치,"17억 8,755만원"
(주)헬로서치,"17억 8,755만원"
(주)헬로서치,"17억 8,755만원"
(주)프로매치코리아,"42억 3,497만원"
(주)잡뉴스솔로몬서치,-
HR컨설팅(주),33억원
(주)조인스에이치알코리아,-
(주)피플케어코리아,35억원
(주)피플케어코리아,35억원
(주)프로매치코리아,"42억 3,497만원"
맨쉬컨설팅주식회사,90억원
(주)프로매치코리아,"42억 3,497만원"
(주)피플케어코리아,35억원
(주)프로매치코리아,"42억 3,497만원"
(주)피플케어코리아,35억원
(주)에이치알그룹,-
(주)헬로서치,"17억 8,755만원"
(주)프로매치코리아,"42억 3,497만원"
(주)프로매치코리아,"42억 3,497만원"
(주)프로매치코리아,"42억 3,497만원"
(주)프로매치코리아,"42억 3,497만원"
(주)프로매치코리아,"42억 3,497만원"
(주)프로매치코리아,"42억 3,497만원"
(주)벤처피플,-
(주)프로매치코리아,"42억 3,497만원"
주식회사 라피플코리아리미티드,-
매버릭컨설팅(주),-
(주)벤처피플,-
(주)커리어케어,"178억 7,914만원"
(주)글로벌스카우트,-
(주)프로매치코리아,"42억 3,497만원"
(주)프로매치코리아,"42억 3,497만원"
(주)프로매치코리아,"42억 3,497만원"
매버릭컨설팅(주),-
(주)벤처피플,-
(주)프로매치코리아,"42억 3,497만원"
(주)프로매치코리아,"42억 3,497만원"
(주)프로매치코리아,"42억 3,497만원"
(주)프로매치코리아,"42억 3,497만원"
(주)프로매치코리아,"42억 3,497만원"
(주)프로매치코리아,"42억 3,497만원"
(주)프로매치코리아,"42억 3,497만원"
(주)프로매치코리아,"42억 3,497만원"
(주)프로매치코리아,"42억 3,497만원"
엑스다임 (주),-
(주)에이치알그룹,-
(주)프로매치코리아,"42억 3,497만원"
파워에이치알,12억원
(주)프로매치코리아,"42억 3,497만원"
(주)벤처피플,-
네오리소스,-
(주)벤처피플,-
(주)벤처피플,-
(주)벤처피플,-
(주)프로매치코리아,"42억 3,497만원"
(주)프로매치코리아,"42억 3,497만원"
(주)프로매치코리아,"42억 3,497만원"
(주)프로매치코리아,"42억 3,497만원"
(주)프로매치코리아,"42억 3,497만원"
(주)프로매치코리아,"42억 3,497만원"
(주)피플케어코리아,35억원
(주)프로매치코리아,"42억 3,497만원"
(주)프로매치코리아,"42억 3,497만원"
(주)프로매치코리아,"42억 3,497만원"
(주)프로매치코리아,"42억 3,497만원"
네오리소스,-
(주)스카우트파트너스,"85억 5,603만원"
파워에이치알,12억원
(주)피플케어코리아,35억원
(주) 소셜써치코리아,-
파워에이치알,12억원
주식회사 코어포인트,-
헤니앤머코이,-
헤니앤머코이,-
(주) 에코써치,-
(주)베스트에치알,-
(주)베스트에치알,-
피플인사이트파트너스(주),-
피플인사이트파트너스(주),-
(주)피플케어코리아,35억원
(주)베스트에치알,-
피플인사이트파트너스(주),-
매버릭컨설팅(주),-
(주)피플케어코리아,35억원
(주) 에코써치,-
(주)피플케어코리아,35억원
(주) 에코써치,-
(주)스카우트파트너스,"85억 5,603만원"
제이엔커리어,-
