기업이름,분야,평점,연봉,2차산업군
(주)유니드 ,제조/화학,2.9,4674,석유/화학/에너지
(주)흥아 ,제조/화학,2.9,4260,석유/화학/에너지
백산(주) ,제조/화학,2.8,3396,석유/화학/에너지
오영(주) ,제조/화학,1.8,3258,석유/화학/에너지
한국애질런트테크놀로지스(주) ,제조/화학,3.6,5130,석유/화학/에너지
한화에너지(주) ,제조/화학,3.2,5528,석유/화학/에너지
화승인더스트리(주) ,제조/화학,2.4,4413,석유/화학/에너지
(주)포컴퍼니 ,제조/화학,2.6,3407,석유/화학/에너지
엘리드(주) ,제조/화학,1.9,3343,석유/화학/에너지
한국산노프코(주) ,제조/화학,2.3,4218,석유/화학/에너지
(주)엠티어 ,제조/화학,2.8,3767,석유/화학/에너지
한국선급 ,제조/화학,4.0,5180,석유/화학/에너지
소니드(주) ,제조/화학,2.4,3249,석유/화학/에너지
(주)이노폴 ,제조/화학,2.1,3713,석유/화학/에너지
(주)한국하우톤 ,제조/화학,2.6,5051,석유/화학/에너지
에스케이이엔에스(주) ,제조/화학,3.8,5881,석유/화학/에너지
콜마유엑스(주) ,제조/화학,1.6,3024,석유/화학/에너지
(주)동양이화 ,제조/화학,2.0,3380,석유/화학/에너지
동아타이어공업(주) ,제조/화학,2.5,4067,석유/화학/에너지
(주)누보 ,제조/화학,2.9,3536,석유/화학/에너지
(주)비나우 ,제조/화학,2.8,4450,석유/화학/에너지
(주)시크릿키 ,제조/화학,3.1,3452,석유/화학/에너지
아주대학교의료원 ,제조/화학,3.2,4607,석유/화학/에너지
고려공업검사(주) ,제조/화학,2.3,2917,석유/화학/에너지
에어리퀴드코리아(주) ,제조/화학,3.3,5107,석유/화학/에너지
한화첨단소재(주) ,제조/화학,3.2,4862,석유/화학/에너지
(주)대하 ,제조/화학,2.2,3605,석유/화학/에너지
어프로티움(주) ,제조/화학,2.4,3351,석유/화학/에너지
제이에스알마이크로코리아(주) ,제조/화학,3.1,4088,석유/화학/에너지
하이테크엔지니어링(주) ,제조/화학,3.2,3626,석유/화학/에너지
한국뷰로베리타스(주) ,제조/화학,2.5,3284,석유/화학/에너지
(주)라이온켐텍 ,제조/화학,2.3,3166,석유/화학/에너지
(주)나노브릭 ,제조/화학,2.3,4050,석유/화학/에너지
(주)부스타 ,제조/화학,2.3,3290,석유/화학/에너지
마임(주) ,제조/화학,2.2,2887,석유/화학/에너지
에스피씨(주) ,제조/화학,1.8,3238,석유/화학/에너지
파이오락스(주) ,제조/화학,2.4,3751,석유/화학/에너지
(주)세미솔루션 ,제조/화학,1.6,3289,석유/화학/에너지
송원산업(주) ,제조/화학,3.8,5384,석유/화학/에너지
아토텍코리아(주) ,제조/화학,3.1,4070,석유/화학/에너지
에이씨티(주) ,제조/화학,2.0,3557,석유/화학/에너지
조광요턴(주) ,제조/화학,3.1,3833,석유/화학/에너지
지피다이쿄코리아(주) ,제조/화학,2.4,3199,석유/화학/에너지
(주)셀랩 ,제조/화학,2.0,2970,석유/화학/에너지
(주)케이씨아이 ,제조/화학,2.6,3961,석유/화학/에너지
디엘케미칼(주) ,제조/화학,3.4,6083,석유/화학/에너지
유피케미칼(주) ,제조/화학,2.7,4026,석유/화학/에너지
(주)스텍 ,제조/화학,3.5,3642,석유/화학/에너지
에이치알에스(주) ,제조/화학,2.4,3257,석유/화학/에너지
(주)한웅메디칼 ,제조/화학,1.3,2995,석유/화학/에너지
알파켐(주) ,제조/화학,1.7,2967,석유/화학/에너지
에이치엘비생활건강(주) ,제조/화학,2.3,3307,석유/화학/에너지
(주)지에스켐 ,제조/화학,2.1,3590,석유/화학/에너지
(주)이지코스텍 ,제조/화학,1.9,3049,석유/화학/에너지
(주)한국화장품제조 ,제조/화학,2.8,3810,석유/화학/에너지
미승씨앤에스검사(주) ,제조/화학,1.8,2724,석유/화학/에너지
한국다이요잉크(주) ,제조/화학,1.8,4080,석유/화학/에너지
헨켈테크놀러지스(유) ,제조/화학,3.3,4204,석유/화학/에너지
(주)지엔텔 ,제조/화학,3.1,3891,석유/화학/에너지
(주)카프로 ,제조/화학,2.6,4429,석유/화학/에너지
씨카코리아(주) ,제조/화학,2.0,3393,석유/화학/에너지
남해화학(주) ,제조/화학,3.9,4846,석유/화학/에너지
데이셀코스메틱(주) ,제조/화학,2.0,3147,석유/화학/에너지
