기업이름,분야,평점,연봉,2차산업군
(주)레오테크 ,제조/화학,2.9,3339,반도체/디스플레이
(주)아이엠피 ,제조/화학,2.1,2873,반도체/디스플레이
(주)크레셈 ,제조/화학,2.5,3997,반도체/디스플레이
뉴바이오(주) ,제조/화학,1.5,2913,반도체/디스플레이
세미크론(주) ,제조/화학,3.8,3901,반도체/디스플레이
지에스티코리아(주) ,제조/화학,1.5,3077,반도체/디스플레이
(주)가온칩스 ,제조/화학,3.5,4083,반도체/디스플레이
보임기술(주) ,제조/화학,2.4,4602,반도체/디스플레이
사운드그래프(주) ,제조/화학,1.4,3589,반도체/디스플레이
(유)아이티더브류특수필름 ,제조/화학,2.4,3510,반도체/디스플레이
(주)라모스테크놀러지 ,제조/화학,2.9,4859,반도체/디스플레이
(주)코아시아 ,제조/화학,2.3,4629,반도체/디스플레이
(주)토모큐브 ,제조/화학,4.5,0,반도체/디스플레이
나노윈(주) ,제조/화학,2.3,3300,반도체/디스플레이
애니모션텍(주) ,제조/화학,2.1,4613,반도체/디스플레이
(주)에이비엠 ,제조/화학,1.9,3156,반도체/디스플레이
(주)퀄리타스반도체 ,제조/화학,4.2,4032,반도체/디스플레이
(주)클라우드에어 ,제조/화학,3.2,4545,반도체/디스플레이
(주)피티앤케이 ,제조/화학,2.8,2577,반도체/디스플레이
(주)브이픽스메디칼 ,제조/화학,3.4,3324,반도체/디스플레이
(주)앰플리튜드코리아 ,제조/화학,2.6,3114,반도체/디스플레이
(주)에이치피에스피 ,제조/화학,4.1,4208,반도체/디스플레이
에스-탑 ,제조/화학,1.9,2814,반도체/디스플레이
케이티지(주) ,제조/화학,2.6,2969,반도체/디스플레이
(주)벡트 ,제조/화학,2.7,2950,반도체/디스플레이
(주)유남옵틱스 ,제조/화학,3.3,3164,반도체/디스플레이
(주)유비스 ,제조/화학,1.6,2376,반도체/디스플레이
(주)지니틱스 ,제조/화학,3.0,3736,반도체/디스플레이
덕산홀딩스(주) ,제조/화학,4.1,5047,반도체/디스플레이
창성시트(주) ,제조/화학,3.5,3636,반도체/디스플레이
한미스위스광학(주) ,제조/화학,1.3,2021,반도체/디스플레이
(주)금영 ,제조/화학,2.9,3328,반도체/디스플레이
(주)포스텔 ,제조/화학,2.5,2648,반도체/디스플레이
(주)현성정밀기계 ,제조/화학,2.3,2950,반도체/디스플레이
글로닉스(주) ,제조/화학,3.1,2700,반도체/디스플레이
렉터슨(주) ,제조/화학,1.8,3488,반도체/디스플레이
한국후지필름일렉트로닉머티리얼즈(주) ,제조/화학,2.4,4026,반도체/디스플레이
(주)씨엘라이트 ,제조/화학,3.3,3387,반도체/디스플레이
(주)에이티유 ,제조/화학,2.1,3194,반도체/디스플레이
(주)에프엔에스 ,제조/화학,1.8,3383,반도체/디스플레이
(주)제이앤엠디스플레이 ,제조/화학,1.8,3122,반도체/디스플레이
(주)현대포멕스 ,제조/화학,3.9,3219,반도체/디스플레이
(주)볼트크리에이션 ,제조/화학,3.1,2759,반도체/디스플레이
(주)윤씨네 ,제조/화학,2.0,2940,반도체/디스플레이
(주)일레븐전자 ,제조/화학,2.0,3307,반도체/디스플레이
비에프테크(주) ,제조/화학,3.0,3918,반도체/디스플레이
제주반도체(주) ,제조/화학,3.5,3661,반도체/디스플레이
(주)하이브시스템 ,제조/화학,2.2,3052,반도체/디스플레이
디에스이테크(주) ,제조/화학,2.2,2733,반도체/디스플레이
한국신광마이크로애랙트로닉스(주) ,제조/화학,3.0,3508,반도체/디스플레이
(주)지엠 ,제조/화학,2.5,3415,반도체/디스플레이
티모스(주) ,제조/화학,2.6,2780,반도체/디스플레이
한라정밀엔지니어링(주) ,제조/화학,3.2,3090,반도체/디스플레이
(주)레이시스 ,제조/화학,2.8,2559,반도체/디스플레이
(주)에스알씨 ,제조/화학,1.8,3390,반도체/디스플레이
리스광시스템(주) ,제조/화학,3.6,3343,반도체/디스플레이
에코엘이디(주) ,제조/화학,2.1,2708,반도체/디스플레이
위더맥스(주) ,제조/화학,3.6,4050,반도체/디스플레이
투스템(주) ,제조/화학,2.1,3617,반도체/디스플레이
파인트론(주) ,제조/화학,2.8,4192,반도체/디스플레이
(주)에이치앤아비즈 ,제조/화학,2.0,3038,반도체/디스플레이
(주)옵토네스트 ,제조/화학,2.6,0,반도체/디스플레이
(주)유에스티 ,제조/화학,3.3,4641,반도체/디스플레이
(주)인셈 ,제조/화학,2.9,4012,반도체/디스플레이
(주)지비티코리아 ,제조/화학,3.1,4187,반도체/디스플레이
