기업이름,분야,평점,연봉,2차산업군
인터아이디(주) ,건설업,1.7,3407,건설업
한국섬유산업연합회 ,건설업,2.5,4577,건설업
(주)유벡 ,건설업,2.1,3231,건설업
(주)제일건설 ,건설업,2.5,4261,건설업
(주)하우빌드 ,건설업,3.9,4487,건설업
삼환기업(주) ,건설업,3.2,4898,건설업
알루이엔씨(주) ,건설업,2.6,3147,건설업
흥우산업(주) ,건설업,2.2,3434,건설업
(주)삼우엠이피컨설턴트 ,건설업,2.1,3236,건설업
경화엔지니어링(주) ,건설업,2.0,3597,건설업
광혁건설(주) ,건설업,2.4,3763,건설업
네오밸류(주) ,건설업,3.0,5013,건설업
삼일씨티에스(주) ,건설업,2.3,4028,건설업
엔텍이앤씨(주) ,건설업,2.6,3351,건설업
인천도시공사 ,건설업,4.2,3845,건설업
존슨콘트롤즈코리아(유) ,건설업,2.4,4293,건설업
중흥종합건설(주) ,건설업,2.3,4760,건설업
태조엔지니어링(주) ,건설업,2.9,4475,건설업
혜원까치종합건축사사무소(주) ,건설업,3.1,3278,건설업
환경에너지솔루션(주) ,건설업,2.4,3827,건설업
엔백(주) ,건설업,3.0,2993,건설업
케이에스엠기술(주) ,건설업,3.1,3673,건설업
한국항만기술단(주) ,건설업,3.0,4158,건설업
(주)건축사사무소테마공간 ,건설업,1.9,3633,건설업
(주)지에프에스 ,건설업,3.1,3617,건설업
(주)하나기연 ,건설업,2.6,3068,건설업
엑스컴인터내셔널(주) ,건설업,1.6,2570,건설업
영화키스톤건축사사무소(주) ,건설업,2.4,3358,건설업
태성에스엔아이(주) ,건설업,2.4,3196,건설업
태왕이앤씨(주) ,건설업,2.8,4428,건설업
(주)대고에셋 ,건설업,2.4,3681,건설업
(주)신세계프라퍼티 ,건설업,3.2,5219,건설업
(주)우방 ,건설업,2.8,4372,건설업
(주)인테크디자인 ,건설업,2.1,2588,건설업
이넵스(주) ,건설업,4.0,4072,건설업
라온건설(주) ,건설업,3.2,4855,건설업
이지빌(주) ,건설업,2.6,4370,건설업
(주)제일감정평가법인 ,건설업,2.4,2387,건설업
(주)피제이디자인 ,건설업,2.5,2754,건설업
영진환경산업(주) ,건설업,2.8,3158,건설업
올라이트라이프(주) ,건설업,2.6,3270,건설업
(주)서원양행 ,건설업,1.8,3520,건설업
(주)에스엘플랫폼 ,건설업,2.4,3808,건설업
(주)연우피씨엔지니어링 ,건설업,3.3,3535,건설업
(주)익선다다 ,건설업,2.6,3470,건설업
디자인비채(주) ,건설업,2.0,2977,건설업
범양건영(주) ,건설업,2.4,4453,건설업
서용건설(주) ,건설업,2.4,3344,건설업
이마린아이씨티(주) ,건설업,2.2,3274,건설업
조인디자인(주) ,건설업,2.8,4022,건설업
고려무역(주) 싱가포르지사 ,건설업,2.2,3379,건설업
데코피아 ,건설업,2.7,2972,건설업
인천문화재단 ,건설업,2.9,2980,건설업
