기업이름,분야,평점,연봉,2차산업군
하이호경금속(주) ,제조/화학,2.1,3711,금속/재료/철강
현대피팅(주) ,제조/화학,3.3,3415,금속/재료/철강
금비 ,제조/화학,2.1,3811,금속/재료/철강
기원정밀(주) ,제조/화학,1.2,3222,금속/재료/철강
나라케이아이씨(주) ,제조/화학,2.5,3327,금속/재료/철강
아이펙이엔지(주) ,제조/화학,2.0,4211,금속/재료/철강
(주)한송엠앤티 ,제조/화학,2.6,0,금속/재료/철강
엔아이스틸(주) ,제조/화학,2.2,4227,금속/재료/철강
울프(주) ,제조/화학,3.4,3740,금속/재료/철강
케이피피(주) ,제조/화학,2.4,3396,금속/재료/철강
쿼츠테크(주) ,제조/화학,2.1,3836,금속/재료/철강
(주)신화다이나믹스 ,제조/화학,3.3,3581,금속/재료/철강
(주)아이비머티리얼즈 ,제조/화학,2.6,3433,금속/재료/철강
대웅(주) ,제조/화학,2.2,4811,금속/재료/철강
모닝에스티에스(주) ,제조/화학,2.5,3280,금속/재료/철강
바른창호(주) ,제조/화학,2.1,2744,금속/재료/철강
(주)네오시티 ,제조/화학,2.3,3754,금속/재료/철강
(주)부광테크 ,제조/화학,2.1,3035,금속/재료/철강
(주)인익스 ,제조/화학,1.6,3534,금속/재료/철강
(주)케이씨산업 ,제조/화학,2.9,3654,금속/재료/철강
금강기계공업(주) ,제조/화학,2.4,2954,금속/재료/철강
(주)보인씨엔아이 ,제조/화학,2.1,2545,금속/재료/철강
대주이엔티(주) ,제조/화학,2.5,3257,금속/재료/철강
대흥공업(주) ,제조/화학,2.7,5291,금속/재료/철강
삼광피에스(주) ,제조/화학,2.1,4323,금속/재료/철강
삼원산업(주) ,제조/화학,1.5,3725,금속/재료/철강
에이치엔씨(주) ,제조/화학,3.6,3082,금속/재료/철강
케이티롤(주) ,제조/화학,2.8,4800,금속/재료/철강
포스코에이치와이클린메탈(주) ,제조/화학,1.9,0,금속/재료/철강
피엔에스알미늄(주) ,제조/화학,1.7,3040,금속/재료/철강
(주)디케이씨 ,제조/화학,2.7,4148,금속/재료/철강
(주)에이치케이알 ,제조/화학,2.9,4017,금속/재료/철강
게링코리아(주) ,제조/화학,2.8,3210,금속/재료/철강
동양전자초자(주) ,제조/화학,3.2,4011,금속/재료/철강
삼미금속(주) ,제조/화학,2.1,3772,금속/재료/철강
세아에삽(주) ,제조/화학,2.7,4556,금속/재료/철강
