기업이름,분야,평점,연봉,2차산업군
태성전장(주) ,제조/화학,1.8,3489,기계/설비/자동차
갑을오토텍(주) ,제조/화학,2.2,3761,기계/설비/자동차
오텍캐리어냉장(주) ,제조/화학,2.1,3430,기계/설비/자동차
(주)유진테크 ,제조/화학,2.7,4800,기계/설비/자동차
(주)원익홀딩스 ,제조/화학,3,4537,기계/설비/자동차
(주)제노레이 ,제조/화학,2.6,3494,기계/설비/자동차
우신공업(주) ,제조/화학,2.6,4037,기계/설비/자동차
희성촉매(주) ,제조/화학,3,5029,기계/설비/자동차
덕양산업(주) ,제조/화학,3.4,4747,기계/설비/자동차
포인트닉스(주) ,제조/화학,1.9,3084,기계/설비/자동차
(주)시스템알앤디 ,제조/화학,2.4,3547,기계/설비/자동차
지엠비코리아(주) ,제조/화학,3,4392,기계/설비/자동차
한경희생활과학(주) ,제조/화학,2,3406,기계/설비/자동차
두원중공업(주) ,제조/화학,3.1,5209,기계/설비/자동차
유도썬스(주) ,제조/화학,2.1,3928,기계/설비/자동차
(주)동화엔텍 ,제조/화학,2.9,3905,기계/설비/자동차
(주)서진오토모티브 ,제조/화학,1.9,3986,기계/설비/자동차
(주)케이엔알시스템 ,제조/화학,2.3,3324,기계/설비/자동차
(주)한컴라이프케어 ,제조/화학,1.9,4114,기계/설비/자동차
동원금속(주) ,제조/화학,2.4,3892,기계/설비/자동차
새론오토모티브(주) ,제조/화학,2,5055,기계/설비/자동차
(주)디알젬 ,제조/화학,2.3,3757,기계/설비/자동차
(주)엠에스오토텍 ,제조/화학,2.6,4367,기계/설비/자동차
에이테크오토모티브(주) ,제조/화학,2.1,3497,기계/설비/자동차
한신기계공업(주) ,제조/화학,1.9,2917,기계/설비/자동차
(주)모토텍 ,제조/화학,1.6,4147,기계/설비/자동차
대원정밀공업(주) ,제조/화학,2.2,4452,기계/설비/자동차
(주)리큅 ,제조/화학,1.7,3439,기계/설비/자동차
디케이락(주) ,제조/화학,2.3,3356,기계/설비/자동차
(주)케이엑스하이텍 ,제조/화학,2.2,4049,기계/설비/자동차
동아전기부품(주) ,제조/화학,2.1,3878,기계/설비/자동차
에이앤아이(주) ,제조/화학,2.9,3780,기계/설비/자동차
(주)영진 ,제조/화학,2.1,3650,기계/설비/자동차
(주)로봇앤드디자인 ,제조/화학,2.4,3679,기계/설비/자동차
(주)리팩 ,제조/화학,2.8,3419,기계/설비/자동차
(주)에어릭스 ,제조/화학,2.5,4204,기계/설비/자동차
선보공업(주) ,제조/화학,2.6,3418,기계/설비/자동차
(주)금영제너럴 ,제조/화학,2.3,3289,기계/설비/자동차
인알파코리아(주) ,제조/화학,2.1,4506,기계/설비/자동차
제일이엔에스(주) ,제조/화학,2.1,3287,기계/설비/자동차
엔티렉스(주) ,제조/화학,2.1,3007,기계/설비/자동차
(주)비아트론 ,제조/화학,2.6,3565,기계/설비/자동차
(주)에이텍에이피 ,제조/화학,2.2,3543,기계/설비/자동차
(주)코모스 ,제조/화학,2.7,3919,기계/설비/자동차
(주)코윈테크 ,제조/화학,2.7,3875,기계/설비/자동차
만앤휴멜코리아(주) ,제조/화학,3,4189,기계/설비/자동차
세종공업(주) ,제조/화학,3,4730,기계/설비/자동차
(주)삼양발브종합메이커 ,제조/화학,1.9,3197,기계/설비/자동차
광성기업(주) ,제조/화학,2.2,3775,기계/설비/자동차
비전세미콘(주) ,제조/화학,2.1,3461,기계/설비/자동차
(주)대성하이텍 ,제조/화학,2,3200,기계/설비/자동차
(주)엑시콘 ,제조/화학,2.5,3984,기계/설비/자동차
파이퍼베큠코리아(유) ,제조/화학,2.7,3588,기계/설비/자동차
후성정공(주) ,제조/화학,2.5,3725,기계/설비/자동차
팸텍(주) ,제조/화학,2.3,3526,기계/설비/자동차
(주)드림텍 ,제조/화학,2.3,3801,기계/설비/자동차
(주)비엔에이치 ,제조/화학,1.6,3579,기계/설비/자동차
신라정밀(주) ,제조/화학,2.3,3771,기계/설비/자동차
우수에이엠에스(주) ,제조/화학,2.2,3919,기계/설비/자동차
한국오바라(주) ,제조/화학,3,3283,기계/설비/자동차
솔라파크코리아(주) ,제조/화학,2.1,3113,기계/설비/자동차
에코볼트(주) ,제조/화학,2.5,3861,기계/설비/자동차
(주)제트에프삭스코리아 ,제조/화학,3,4301,기계/설비/자동차
뉴로스(주) ,제조/화학,2.4,3278,기계/설비/자동차
동양물산기업(주) ,제조/화학,2.4,4224,기계/설비/자동차
(주)코렌텍 ,제조/화학,2.4,3443,기계/설비/자동차
(주)엠플러스 ,제조/화학,2.7,4389,기계/설비/자동차
(주)폴라리스세원 ,제조/화학,2.3,3589,기계/설비/자동차
비엠티(주) ,제조/화학,2.3,3289,기계/설비/자동차
쁘레베베(주) ,제조/화학,2,3257,기계/설비/자동차
에이치에스디엔진(주) ,제조/화학,3.2,5048,기계/설비/자동차
에코플라스틱(주) ,제조/화학,3.1,5234,기계/설비/자동차
정우산기(주) ,제조/화학,2.6,3907,기계/설비/자동차
한국보그워너티에스 ,제조/화학,2.6,5243,기계/설비/자동차
(주)모팜 ,제조/화학,1.5,3115,기계/설비/자동차
(주)웰크론한텍 ,제조/화학,2.9,4030,기계/설비/자동차
(주)셀바스헬스케어 ,제조/화학,2.6,3419,기계/설비/자동차
(주)콜러노비타 ,제조/화학,2.6,4590,기계/설비/자동차
대동시스템(주) ,제조/화학,2.4,4309,기계/설비/자동차
전진건설로봇(주) ,제조/화학,2.4,3476,기계/설비/자동차
한화디펜스(주) ,제조/화학,3.9,5484,기계/설비/자동차
아산(주) ,제조/화학,1.9,4207,기계/설비/자동차
에스에이치글로벌(주) ,제조/화학,2.7,5220,기계/설비/자동차
기성금속(주) ,제조/화학,2.1,2910,기계/설비/자동차
에스피엑스플로우테크놀로지(주) ,제조/화학,2.4,3981,기계/설비/자동차
영화금속(주) ,제조/화학,2.3,4243,기계/설비/자동차
인팩일렉스(주) ,제조/화학,2.3,4300,기계/설비/자동차
(주)심원개발 ,제조/화학,2.2,4373,기계/설비/자동차
동서페더럴모굴(주) ,제조/화학,2.6,4464,기계/설비/자동차
평화홀딩스(주) ,제조/화학,3,4601,기계/설비/자동차
휴림로봇(주) ,제조/화학,2.4,3627,기계/설비/자동차
(주)티티에스 ,제조/화학,2.5,3155,기계/설비/자동차
에나인더스트리(주) ,제조/화학,1.9,3391,기계/설비/자동차
현대로보틱스(주) ,제조/화학,2.7,4806,기계/설비/자동차
(주)에스앤지바이오텍 ,제조/화학,2,3358,기계/설비/자동차
동신모텍(주) ,제조/화학,2.4,3694,기계/설비/자동차
(주)상상인인더스트리 ,제조/화학,2.2,3378,기계/설비/자동차
두림야스카와(주) ,제조/화학,2.6,3968,기계/설비/자동차
한국유미코아촉매유한책임회사 ,제조/화학,3.1,4498,기계/설비/자동차
(주)대영오앤이 ,제조/화학,2.7,3262,기계/설비/자동차
대영이앤비(주) ,제조/화학,2.5,3272,기계/설비/자동차
파세코(주) ,제조/화학,2.1,3982,기계/설비/자동차
(주)계양정밀 ,제조/화학,2.6,4173,기계/설비/자동차
디케이메디칼시스템(주) ,제조/화학,2.1,3410,기계/설비/자동차
유닉스전자(주) ,제조/화학,1.8,3818,기계/설비/자동차
한라스택폴(주) ,제조/화학,2.7,5536,기계/설비/자동차
(주)삼화에이스 ,제조/화학,2.3,3467,기계/설비/자동차
현대중공업터보기계(주) ,제조/화학,2.7,4696,기계/설비/자동차
(주)코넥 ,제조/화학,2.1,3787,기계/설비/자동차
(주)현보 ,제조/화학,2.1,3130,기계/설비/자동차
말레베어공조(주) ,제조/화학,2.7,4032,기계/설비/자동차
대경기계기술(주) ,제조/화학,2.8,3780,기계/설비/자동차
스피덴트(주) ,제조/화학,2.8,3343,기계/설비/자동차
신진엠텍(주) ,제조/화학,2.4,3366,기계/설비/자동차
영화테크(주) ,제조/화학,2.5,3977,기계/설비/자동차
두산산업차량(주) ,제조/화학,3.1,5146,기계/설비/자동차
반도호이스트크레인(주) ,제조/화학,1.8,3310,기계/설비/자동차
(주)보보코퍼레이션 ,제조/화학,1.8,3023,기계/설비/자동차
가레트모션코리아(유) ,제조/화학,2.9,5144,기계/설비/자동차
한국지이초음파(유) ,제조/화학,3.3,4868,기계/설비/자동차
(주)울트라브이 ,제조/화학,2,3118,기계/설비/자동차
(주)유니테스트 ,제조/화학,3.3,4374,기계/설비/자동차
디젠스(주) ,제조/화학,2.5,4615,기계/설비/자동차
쉰들러엘리베이터(주) ,제조/화학,2.3,3684,기계/설비/자동차
엠에이티플러스(주) ,제조/화학,3.2,3206,기계/설비/자동차
영진아이엔디(주) ,제조/화학,2,3413,기계/설비/자동차
자일대우버스(주) ,제조/화학,2.4,4802,기계/설비/자동차
(주)제일메디칼코퍼레이션 ,제조/화학,2.7,4208,기계/설비/자동차
에스케이에프코리아(주) ,제조/화학,3.1,4616,기계/설비/자동차
한수테크니칼서비스(주) ,제조/화학,2.5,4458,기계/설비/자동차
(주)한국기능공사 ,제조/화학,2.2,3162,기계/설비/자동차
덴소코리아오토모티브(주) ,제조/화학,2.4,5095,기계/설비/자동차
레오니와이어링시스템즈코리아(주) ,제조/화학,2.6,4898,기계/설비/자동차
바이오프로테크(주) ,제조/화학,1.8,3223,기계/설비/자동차
발레오전장시스템스코리아(주) ,제조/화학,2.3,4443,기계/설비/자동차
썬스타(주) ,제조/화학,2.5,3729,기계/설비/자동차
엠알인프라오토(주) ,제조/화학,2,3603,기계/설비/자동차
유니슨에이치케이알(주) ,제조/화학,2.1,3847,기계/설비/자동차
대동중공업(주) ,제조/화학,1.5,3294,기계/설비/자동차
에이치디현대엔진(유) ,제조/화학,3.1,4655,기계/설비/자동차
햇빛일루콤(주) ,제조/화학,1.4,3229,기계/설비/자동차
(주)세종메디칼 ,제조/화학,2.2,3447,기계/설비/자동차
로크웰오토메이션코리아(주) ,제조/화학,3.8,6327,기계/설비/자동차
와이제이링크(주) ,제조/화학,2.3,2757,기계/설비/자동차
(주)삼현 ,제조/화학,2.2,3826,기계/설비/자동차
(주)한국마이콤 ,제조/화학,2.9,3526,기계/설비/자동차
만도브로제(주) ,제조/화학,2.9,5339,기계/설비/자동차
텔스타홈멜(주) ,제조/화학,2.3,3058,기계/설비/자동차
(주)스마트솔루션즈 ,제조/화학,2.4,3624,기계/설비/자동차
(주)이엠아이 ,제조/화학,1.6,3477,기계/설비/자동차
대영코어텍(주) ,제조/화학,2,2965,기계/설비/자동차
선진정공(주) ,제조/화학,2.8,3412,기계/설비/자동차
클라크머터리얼핸들링아시아(주) ,제조/화학,1.9,4044,기계/설비/자동차
(주)디피코 ,제조/화학,1.8,2842,기계/설비/자동차
삼진정밀(주) ,제조/화학,2.3,3407,기계/설비/자동차
효림산업(주) ,제조/화학,2.4,3463,기계/설비/자동차
(주)캐프 ,제조/화학,2.9,3251,기계/설비/자동차
그리에이트(주) ,제조/화학,1.9,3226,기계/설비/자동차
기산전자(주) ,제조/화학,2.6,4194,기계/설비/자동차
씨유메디칼시스템(주) ,제조/화학,2.8,4009,기계/설비/자동차
아이탑스오토모티브(주) ,제조/화학,2.2,4271,기계/설비/자동차
(주)듀크린 ,제조/화학,2.5,3604,기계/설비/자동차
(주)디바이스이엔지 ,제조/화학,2.7,3312,기계/설비/자동차
(주)모트롤 ,제조/화학,2.7,5353,기계/설비/자동차
(주)씨티알모빌리티 ,제조/화학,3,4771,기계/설비/자동차
나라엠앤디(주) ,제조/화학,2.7,4053,기계/설비/자동차
한성티앤아이(주) ,제조/화학,2.1,3420,기계/설비/자동차
(주)세대에너텍 ,제조/화학,2.8,4161,기계/설비/자동차
(주)에스에이치엘 ,제조/화학,2,3596,기계/설비/자동차
(주)에이피텍 ,제조/화학,2.9,3267,기계/설비/자동차
씨와이뮤텍(주) ,제조/화학,2.2,3383,기계/설비/자동차
진영산업(주) ,제조/화학,2,3473,기계/설비/자동차
태양기계(주) ,제조/화학,2.3,3446,기계/설비/자동차
(주)레이 ,제조/화학,2.9,4623,기계/설비/자동차
(주)세아엔지니어링 ,제조/화학,2.3,3523,기계/설비/자동차
대유에이텍(주) ,제조/화학,2.6,4427,기계/설비/자동차
세동(주) ,제조/화학,2.5,4049,기계/설비/자동차
제닉스(주) ,제조/화학,2.7,3411,기계/설비/자동차
(주)바텍이우홀딩스 ,제조/화학,2.4,5070,기계/설비/자동차
오션브릿지(주) ,제조/화학,2.6,3305,기계/설비/자동차
우림피티에스(주) ,제조/화학,2.2,3770,기계/설비/자동차
유네코(주) ,제조/화학,2.4,3654,기계/설비/자동차
(주)성신알에스티 ,제조/화학,1.4,3483,기계/설비/자동차
대모엔지니어링(주) ,제조/화학,2.4,3610,기계/설비/자동차
모델솔루션(주) ,제조/화학,2.3,3712,기계/설비/자동차
