,기업이름,고용형태,연봉,기업주소,키워드,담당업무,필요역량
106,포티투닷 주식회사,경력5년미만,," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층",자율주행,"품질관리, 전자·반도체","['자율주행', 'vector', '서비스', 'ai', 'SW', '3D', '커뮤니케이션']"
107,(주)뷰런테크놀로지,경력1년↑,," 서울특별시 서초구 강남대로 311 (서초동,한화생명보험빌딩)",자율주행,빅데이터·AI(인공지능),"['네트워크', 'C', '컴퓨터', '프로젝트', 'LiDAR', 'Camera', 'Matlab', '전자', 'tool', '전기', 'Python', '데이터', '문서', '커뮤니케이션']"
108,안진회계법인,경력2~10년,," 서울특별시 영등포구 국제금융로 10 (여의도동,서울 국제금융 센터) ONE IFC 9F",자율주행,네트워크·서버·보안,"['네트워크', '자율주행', '학사', '시스템', '석사', '인프라', '박사', '컴퓨터공학']"
109,(주)라닉스,경력3년↑,," 서울특별시 강남구 언주로135길 25 (논현동,라닉스빌딩)",자율주행,"영업관리·영업지원, 영업기획, 조사·분석·통계","['영업', '센서', '영어', '커뮤니케이션']"
110,탑커리어인사이트,경력3~15년,, 서울특별시 강남구 역삼로17길 9 (역삼동) 배영빌딩 202호,자율주행,전자·반도체,"['회로', 'CE', 'UL', '커뮤니케이션']"
111,(주)반프,경력3~15년,," 서울특별시 강남구 역삼로 175 (역삼동,현승빌딩) 3층",자율주행,"전자·반도체, 데이터베이스·DBA, 시스템프로그래머","['자율주행', 'SW', '펌웨어', '센서', '석사', '컴퓨터', 'ECU', '데이터', '알고리즘', 'C', 'Tool', 'RF', '회로', '프로그래밍', '제어', 'IMU', 'Embedded', '학사', 'Firmware', 'Linux', '시스템', 'Python']"
112,(주)라닉스,경력5년↑,," 서울특별시 강남구 언주로135길 25 (논현동,라닉스빌딩)",자율주행,세무·회계,[]
113,오픈엣지테크놀로지(주),경력3~10년,, 서울 강남구 역삼로 114 13층 (역삼동),자율주행,네트워크·서버·보안,"['플랫폼', 'AI', '학사', 'Platform', 'deep learning', 'optimization', '알고리즘']"
114,(주)두원전자통신,경력2년↑,," 경기도 부천시 석천로 397 (삼정동,부천테크노파크쌍용3차)",자율주행,"네트워크·서버·보안, 통신·모바일, 빅데이터·AI(인공지능)","['네트워크', 'C', '컴퓨터', 'SW', 'AI', '인공지능', 'Object detection', 'Deep Learning', 'tracking', '딥러닝', '프로그래밍', 'S/W']"
115,주식회사애니랙티브,경력3~10년,," 서울특별시 성동구 상원1길 26 (성수동1가,서울숲A타워) 803,804",자율주행,"경영·기획·전략, 조사·분석·통계, 홍보·PR·전시·컨벤션","['플랫폼', '모빌리티', '프로젝트', '서비스', '3D', '전기', '영어']"
116,나노융합산업연구조합,신입/경력(연차무관),,(137-140) 서울 서초구 우면동 66-2 세신우면종합상가 408,자율주행,"빅데이터·AI(인공지능), 응용프로그래머, ERP·시스템분석·설계, 전산·IT기술지원, 생산·조립·가공·포장·검품, 생산관리, 바이오·식품공학",['AI']
117,한국폴리텍대학 성남캠퍼스,신입/경력(연차무관),, 경기 성남시 수정구 수정로 398 (산성동),자율주행,"연구원·연구개발, 기술영업, 바이오·식품공학, 빅데이터·AI(인공지능), 응용프로그래머, ERP·시스템분석·설계, 전자·반도체, 네트워크·서버·보안, 게임(Game), 소프트웨어·하드웨어","['C', 'AI']"
118,(주) 실리콘스튜디오코리아,신입/경력(연차무관),, 서울특별시 송파구 송파대로 201 송파 테라타워2 A동 1301호,자율주행,"응용프로그래머, 네트워크·서버·보안, 빅데이터·AI(인공지능), ERP·시스템분석·설계, 웹프로그래머, 건축·공간·CAD·CAM디자인","['네트워크', 'AI', '시스템', 'Python', '프로그래밍', '영어', '커뮤니케이션']"
119,한국교통안전공단,신입,,,자율주행,"경영·기획·전략, 일반사무·사무지원, 세무·회계, 법률·법무·회계",[]
120,현대엠시스템즈(주),경력2년↑,"3,000~8,000",,자율주행,"전자·반도체, 시스템프로그래머","['자율주행', 'Embedded', 'Linux', '센서퓨전', 'firmware', '레이더', '임베디드']"
121,주식회사 프리콘,경력2년↑,"3,500",,자율주행,기술영업,"['자율주행', '센서', 'Radar', '전자', '영업', 'ADAS', 'Lidar', '제어']"
